Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
Captain George Vancouver,1936,In place,"A full figure bronze statue of Captain George Vancouver stands on the north side of City Hall, pointing towards Vancouver harbour and holding a partially open scroll in his left hand. The figure commemorates the events of 1792, when Captain George, a representative of King George III of England, sailed into Burrard Inlet and charted the area.","A new city hall and a statue of Captain George Vancouver were commissioned to commemorate Vancouver's Golden Jubilee in 1936. The architect of the new City Hall at Strathcona Park on West 12th Avenue, Fred Townley, proposed the sculpture, commissioned by the Vancouver Canadian Club, be placed on the plaza on the north side of the building. Noted BC sculptor, Charles Marega, was commissioned (for about $5500) to create a life-size sculpture of the man who mapped the harbour in 1792 and after whom the city is named. Marega began by setting up 500 pounds of clay on a turntable in his Hornby Street Studio. From the clay model, he made a plaster cast which was then used to cast the finished work in ""Roman bronze"". It was cast at Ornamental Bronze, a foundry in Vancouver. The work was installed on August 20, 1936.The bronze figure standing atop the granite plinth is said to bear little physical resemblance to Captain George. The sculpture was copied from a maquette, which had been fashioned after a painting that was in turn, a copy from an original painting.An interesting conversation is recorded between Major Matthews, the City Archivist, and Townley. Matthews: ""Mr. Townley, the ""Sun"" newspaper wants to know how much the Vancouver statue cost and who paid for it.""Townley: ""What do they want to bring that up for? Leave sleeping dogs lie. I've been afraid that matter would come up, but it has not...why bring it up now? It was all in the contract; everything was above board; there's nothing to hide; but if it gets out what it cost, then some fool will start writing to the newspapers, or something, and complain of the waste of money; say it ought to have been given towards the support of some fool scheme of his own, the ""home for incurable dogs"", or some other idiotic thing"".Matthews: ""Alright; drop it, I don't want to know; the ""Sun"" is publishing a story on the statue, and I suppose they want to put the cost in.""Townley: ""Well, Charles Marega made it, and baby bonds paid for it...I don't know exactly what it cost; it would be hard to find out; part of it was in the stone work cost. Marega for $5000, and then there was the base; so much per square foot for the base, perhaps $500 for that...""The statue was cleaned in 2001, 65 years after its installation and in time for the city's 115th birthday. The bill for cost of cleaning was $5800, almost the same amount as the original statue cost. This sculpture is on the City of Vancouver's Heritage Inventory list and, as a proud homage to a great explorer, has stood the test of time.",Vancouver City Hall,453 West 12th Avenue,Mount Pleasant,49.261185,-123.113918
The Swimmer,1977,In place,"An abstract form representing the motion of swimming, this bronze sculpture is mounted on two poles in front of the Aquatic Centre.","Commissioned by Duncan McNab and Associates, architects, and the engineering firm working on the Aquatic Centre.",Vancouver Aquatic Centre,1050 Beach Avenue,West End,49.27699,-123.135029
George Cunningham Memorial Sundial,1967,In place,"A classic bronze sundial sits on top of a 4'5"" high rectangular granite pedestal engraved with abstract modernist geometric designs.  A second edition of the sundial was commissioned for the VanDusen Gardens around 1972.","Erected under the auspices of the Centennial Committee of Vancouver in cooperation with the Parks Board, the sculpture was presented to the City by Cunningham Drug Stores Ltd. whose first store was opened at Denman and Nelson Streets in 1911.  The inscription reads, "" I mark my hours by shadow, mayest thou mark thine by sunshine."" The sundial commemorates three English ""greenhorns"" - Samual Brighouse, John Morton, and William Hailstone who in 1862 filed the first land claim and planned the first home and industry in the then heavily wooded area now bounded by Burrard Inlet, Stanley Park, English Bay and Burrard Street to which they received title in 1867.",English Bay,Beach Avenue & Denman Street,West End,49.287577,-123.141787
Two Steel and Copper Fountains,1965,In place,Two copper ship-like abstract forms grace a pool of green water at this apartment dwelling.,,Beach Towers Apartments,1600 Beach Avenue,West End,49.28408,-123.142216
Untitled (Clydemont Centre),1949,In place,"An elegant figurative relief in nouveau modernist style depicts nature and industry and stands out against a corrugated background surface. The building was formerly the Vancouver Labour Temple. The image is based on the wheel of industry and the figures include people engaged in different kinds of work, airplanes, buildings, plants, birds, and animals on a background of sun rays.",,Clydemont Centre,307 West Broadway,Mount Pleasant,49.263263,-123.111389
Untitled,1968,In place,,,,625 Bute Street,Downtown,49.287929,-123.1244
Charles Bentall,1977,In place,This classic bust depicts the entrepreneur Charles Bentall who died in 1974.,,Bentall Bldg.,501 Burrard Street,Downtown,49.286828,-123.1178
Ksan Mural,1972,In place,"This beautiful 9-panel frieze was carved in red cedar and painted by five artists over a period of three months. It depicts  the Gitksan mythical character Weget (Man-Raven), who created our world through his mischievous activities. The Gitksan people live near the Bulkley and Skeena Rivers in north central BC. According to a brochure published by the Royal Bank, the 3 central panels represent various myths: In one, Raven disguises himself in the skin of a deer in order to steal fire from the humans (shown as small faces in the lower corners). In the second story, Raven goes through a hole in the sky to steal the sun. The image depicts the sun (central to the panel) clutched in his claws over the box he put it in. As the story goes, he dropped the box in his haste and that's how light came to the world. Other creatures (salmon and seal) are depicted around his wings. In the third panel, Raven attempts to capture a fish to eat. As the fish struggles to get away, his head becomes misshapen and that's how the bullhead fish came to be. The side panels represent specific totem creatures: the frog, the wolf, the killer whale, the owl, the human and the bear.",,Royal Bank,1025 West Georgia at Burrard,Downtown,49.284867,-123.121201
Untitled,1954,In place,,,Mercantile Bank,540 Burrard Street,Downtown,49.286289,-123.1185
Asclepius,1951,In place,,,College of Physicians & Surgeons of B.C.,1807 West 10th Avenue,Kitsilano,49.262865,-123.145985
Untitled,1959,In place,,,Queen Elizabeth Theatre,649 Cambie Street,Downtown,49.280537,-123.1126
Untitled,1962,In place,,,Queen Elizabeth Playhouse,649 Cambie Street,Downtown,49.280558,-123.1126
Stations of the Cross,1964,In place,,,Holy Name Parish,4925 Cambie Street,South Cambie,49.240719,-123.119119
Gerald Grattan McGeer,1948,In place,This is a classic bronze bust of the former mayor of Vancouver in official regalia.,"Chuck Davis called Gerry McGeer a ""human bulldozer"" in an article in the Vancouver Sun  In his first week as mayor of Vancouer, he confiscated 1000 slot machines around the city. He was mayor during the1935 demonstration by unemployed workers in the downtown eastside and was instrumental in building city hall on its 12th Avenue site. He died during his second term as mayor in 1947. (Vancouver Sun, April 7, 2001,H5)",Vancouver City Hall,453 West 12th Avenue at Cambie,Mount Pleasant,49.260687,-123.113718
Lovers II,1977,In place,,,Vancouver City Hall,453 West 12th Avenue at Cambie,Mount Pleasant,49.261439,-123.114522
Untitled (relief),,In place,The intricate exterior concrete wall relief stretches from the ground to the roof of this modern building.,,Lost Lagoon Terraces,845 Chilco Street,West End,49.292928,-123.139358
Captain John Deighton (Gassy Jack),1970,In place,"This 6'6"" bronze figure standing on a barrel is prominently located in Gastown and commemorates the man for whom Gastown is named. Born in 1830, ""Gassy"" Jack Deighton was an adventurer who went to sea and was attracted by the gold rush in California and then in New Caledonia (now British Columbia). He didn't strike it rich and instead became a tax man and a steamboat pilot and later ran a saloon which is why he stands on a whiskey barrel. The Globe Saloon which stood on the site was reputedly built in 24 hours by the thirsty workers. (Vancouver Sun, April 7, 2001, H3) The nickname Gassy Jack came from the fact that he talked so much. (drawn from Old Vancouver Townsite Walking Tour, Footprints Community Art Project, 2001)",The sculpture was commissioned by Larry Killam and others interested in improving business in the Gastown area in the early 1970s. Vern Simpson made the sculpture following a drawing by Fritz Jacobson. It was given as a Valentine's Day gift to the City.  Then Mayor Tom Campbell threatened to have it hauled away to the city dump.  Vandals later decapitated it but the head was returned for a $50 reward.,Gastown," Carrall, Water & Powell Street",Downtown,49.283351,-123.104296
Untitled (Cenotaph),1959,In place,,,Grandview Park,Commercial Dr. & William Street,Grandview-Woodland,49.27352,-123.069796
Untitled (mural),1960,In place,,,White House Apartments,2033 Comox Street,West End,49.291012,-123.143036
Angel of Victory,1921,In place,"A heritage monument, this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in World War I. This is one of three identical statues commissioned by the Canadian Pacific Railway in 1921 to honour their workers who answered the call of ""king and country"" and made the ultimate sacrifice.  The others are in Winnipeg and Montreal.  The angel  originally held a full wreath in her upraised hand. After WW II, the dates of that war were also added to the plaque.",The artist won the CPR commission from a nation-wide competition.,Waterfront Station,601 West Cordova Street,Downtown,49.28525,-123.111406
Solo,1986,In place,An abstract sculpture of stainless steel with carved cedar planks that fan out in a spiral.,"""McHaffie says she means to show movement, but not flight. 'My perception of the world is that very little of it is stable,' she says."" -Vancouver Sun, July 19,1986                                             The sculpture was installed as one of ten pieces in the City Shapes sculpture symposium in the City's centennial year.",Devonian Harbour Park,Denman & Georgia Street,Downtown,49.293313,-123.133965
Hastings Mill Commemorative,1966,In place,A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.,"The sculpture was to mark the spot of the old Hastings Mill near the National Harbours Board Building. The National Harbours Board, the Hamber Foundation and the Koerner Foundation all contributed to the project.",Flying Angel Seamen's Club,Dunlevy Street (north end),Downtown,49.286208,-123.094871
Cross of Sacrifice,1922,In place,The Cross of Sacrifice is a piece specific to the Commonwealth War Graves Commission (www.cwgc.org).,,Mountain View Cemetary,39th Avenue and Prince Edward Street,,49.234639,-123.096898
